origin,type,censored
deb://Debian/packages/python-xstatic-smart-table,deb,0
deb://Debian/packages/python-zaqarclient,deb,1
https://pypi.org/project/azure-eventhub/,pypi,1
deb://Debian/packages/python-tempita,deb,1
https://pypi.org/project/azure-keyvault-keys/,pypi,1
deb://Debian/packages/python-os-brick,deb,1
deb://Debian/packages/othman,deb,0
deb://Debian/packages/nik4,deb,1
https://gitlab.com/nxl4/igg.git,git,0
https://pypi.org/project/Keras-Preprocessing/,pypi,1
https://gitlab.com/ajeetdsouza/nerdfonts-python.git,git,0
deb://Debian/packages/nicovideo-dl,deb,0
deb://Debian/packages/python-wrapt,deb,1
https://pypi.org/project/fire/,pypi,1
deb://Debian/packages/python-oslotest,deb,1
deb://Debian/packages/tryton-modules-analytic-sale,deb,1
deb://Debian/packages/cssmin,deb,1
deb://Debian/packages/khmer,deb,1
https://pypi.org/project/click-didyoumean/,pypi,0
deb://Debian/packages/python-requests-unixsocket,deb,0
https://pypi.org/project/contextlib2/,pypi,0
https://pypi.org/project/azure-mgmt-datalake-nspkg/,pypi,0
deb://Debian/packages/python-nose-timer,deb,0
deb://Debian/packages/tryton-modules-purchase-request,deb,1
deb://Debian/packages/mklibs,deb,1
https://pypi.org/project/jupyterlab-pygments/,pypi,1
https://pypi.org/project/azure-cli-nspkg/,pypi,0
deb://Debian/packages/python-editor,deb,0
https://pypi.org/project/aiosignal/,pypi,1
deb://Debian/packages/python-pam,deb,1
deb://Debian/packages/cedar-backup3,deb,1
deb://Debian/packages/trimage,deb,0
https://pypi.org/project/hijri-converter/,pypi,1
deb://Debian/packages/tryton-modules-account,deb,1
https://pypi.org/project/threadpoolctl/,pypi,1
deb://Debian/packages/tryton-modules-account-product,deb,1
deb://Debian/packages/loggerhead,deb,0
https://pypi.org/project/jikanpy/,pypi,1
deb://Debian/packages/tryton-modules-sale-extra,deb,1
deb://Debian/packages/tryton-modules-account-stock-continental,deb,1
deb://Debian/packages/python-xstatic-rickshaw,deb,0
deb://Debian/packages/python-webob,deb,1
https://pypi.org/project/smdebug-rulesconfig/,pypi,1
https://pypi.org/project/jupyter/,pypi,0
deb://Debian/packages/python-mox,deb,1
deb://Debian/packages/turing,deb,1
deb://Debian/packages/python-restructuredtext-lint,deb,0
deb://Debian/packages/lfm,deb,0
